"movieId","tmdbId","title","original_title","overview","release_date","poster_path","backdrop_path","tmdb_vote","vote_count","popularity","dtype","originalLanguage"
"30547","30547","The Champ","The Champ","Billy used to be a great boxer, but he's settled into a hardscrabble life that revolves around drinking, training horses, and the one bright spot in his existence — his young son, T.J. Although Billy has had custody of T.J. since his wife, Annie, left the family years ago, her return prompts a new struggle for the former fighter. Determined to hold on to his son, Billy gets back into the ring to try and recapture his past success.","1979-07-07","/8GyHL4TftI4SKVA8Jj9JpthhIu6.jpg","/fbqNGGI83ORDl4DSB0lj5aTCeZf.jpg","7.0","209","1.5405","MOVIE","en"
"54825","54825","Creature Comforts","Creature Comforts","A humorous and thought-provoking view of what animals in zoos might be thinking about their captivity and surroundings.","1989-07-15","/Ap8XavPP8AyvW9TDQDAZzEGT200.jpg","/xs2SV4uzFDug2PU7GD2JKFAA0Zg.jpg","7.2","130","0.6167","MOVIE","en"
"13939","13939","Death Wish","Death Wish","After his wife is murdered by street punks, a pacifistic New York City architect becomes a one-man vigilante squad, prowling the streets for would-be muggers after dark.","1974-07-24","/rNksI6UiuTgLtBy69WvKT1PrG0R.jpg","/gTO4GgaQDn5msqOvX6LeTj6H7CR.jpg","6.885","927","3.2202","MOVIE","en"
"14373","14373","Death Wish II","Death Wish II","Paul Kersey is again a vigilante trying to find five punks who murdered his housekeeper and daughter in Los Angeles.","1982-02-20","/3iX2nI3Cs9Q864SxA35RE6Hnl5p.jpg","/yXqdxVT3CqPMxT3SgjtWFYkv6Jw.jpg","6.245","520","2.3236","MOVIE","en"
"24873","24873","Death Wish 3","Death Wish 3","Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.","1985-11-01","/mc33TytXxkC9cSKyztDJzwF3lbn.jpg","/q8WH2ue8GTckObot0iIjOBll7Qa.jpg","6.211","465","2.0994","MOVIE","en"
"26263","26263","Death Wish 4: The Crackdown","Death Wish 4: The Crackdown","After the death of his girlfriend's daughter from a drug overdose, Paul Kersey takes on the local drug cartel.","1987-06-11","/r8HwJQJyKRyJ2JypwiVR5p0ZV84.jpg","/fpsbvvKAVHKG6WKBU1LPgyATEOa.jpg","5.696","339","2.1086","MOVIE","en"
"34746","34746","Death Wish V: The Face of Death","Death Wish V: The Face of Death","Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters.","1994-01-14","/5gcpHxQh93M6CKTIMpngErxxq0D.jpg","/tZGsjeXFg0hRv0Uip2cQJ8fxX3Y.jpg","5.548","300","1.8632","MOVIE","en"
"996","996","Double Indemnity","Double Indemnity","An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.","1944-07-06","/rVNYZZgfhwqVMMWlBmxOfWqnwCj.jpg","/byQdu1nzQLI9t1VeoP1xuQfru3L.jpg","8.093","1999","2.4344","MOVIE","en"
"9079","9079","Dying Young","Dying Young","After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood cancer. Slowly, they fall in love, but they always know their love cannot last because he is destined to die.","1991-06-20","/nLVV8TETjCxWQmIip6t3HO1znVJ.jpg","/1vfyThiuGBuAS8IGs9ovDQMjkLZ.jpg","6.693","484","2.2119","MOVIE","en"
"1498","1498","Teenage Mutant Ninja Turtles","Teenage Mutant Ninja Turtles","A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.","1990-03-30","/shfAU6xIIEAEtsloIT3n9Fscz2E.jpg","/qXM08jXRwlT9rm10iAC2uoq0Kn.jpg","6.703","1925","4.2175","MOVIE","en"
"1497","1497","Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Teenage Mutant Ninja Turtles II: The Secret of the Ooze","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants. Meanwhile Splinter is coming... to a decision.","1991-03-22","/Hyvvz9Z3le1is8a0EeFJQm0aSC.jpg","/iIdmQwDP3rOS1XMZKMPFCPkA1Do.jpg","6.2","1227","3.45","MOVIE","en"
"1499","1499","Teenage Mutant Ninja Turtles III","Teenage Mutant Ninja Turtles III","The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.","1993-03-17","/fwX5RdPDBFsbEAXc46DrvRz5Bca.jpg","/wZPF5XyKtDfu7mOVfos21YlyKGq.jpg","5.5","898","2.803","MOVIE","en"
"1880","1880","Red Dawn","Red Dawn","It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town—and their country—from invading Soviet forces.","1984-08-10","/a2GkHcioc2QEFJbQk1NTB85u3vD.jpg","/9fOfsVHZHig6MHPHczv0zMY6cKc.jpg","6.307","874","4.0421","MOVIE","en"
"33762","33762","Band of the Hand","Band of the Hand","An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.","1986-04-11","/ypfbaT6qB8cUfeflK7PO9F4hvsm.jpg","/yX317H7RxKVICjetVoAeS0bmBuj.jpg","6.2","57","1.3774","MOVIE","en"
"11690","11690","Bloodsport","Bloodsport","An American Army Major goes AWOL to Hong Kong for an outlawed martial arts contest called the Kumite.","1988-02-26","/kndxR9TRK0kJ5hxzDprRSS80F2W.jpg","/iLsiC3aXQRBgDgGmFZPpjvsHhSs.jpg","7.018","2101","6.7318","MOVIE","en"
