media_content_id,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage,cast,director
596,596,The Grapes of Wrath,The Grapes of Wrath,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",1940-03-15,/eUcxMVBIA0Jg8l1RGUqycrc3eIQ.jpg,/eMgflonfRY89Zj4LZykJKPpG4wg.jpg,7.8,1087,2.9168,MOVIE,en,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon",John Ford
52470,52470,My Man Godfrey,My Man Godfrey,"The eccentric Bullock household again need a new butler. Daughter Irene encounters bedraggled Godfrey Godfrey at the docks and, fancying him and noticing his obviously good manners, gets him the job. He proves a great success, but keeps his past to himself. When an old flame turns up Irene's sister Cordelia starts making waves.",1957-10-11,/9qXWyhDDoQH2WEc3KecjRmu6QC.jpg,/3acF6MqmKGPLGcGCF3aIFCTO415.jpg,6.4,25,1.6575,MOVIE,en,"June Allyson, David Niven, Jessie Royce Landis, Robert Keith, Eva Gabor",Henry Koster
20334,20334,The Shop Around the Corner,The Shop Around the Corner,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",1940-01-12,/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg,/wqgZSvgoctaadgwUdPYVsksivxn.jpg,8.1,822,1.7935,MOVIE,en,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, Sara Haden",Ernst Lubitsch
11393,11393,The Natural,The Natural,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,1984-05-11,/fwn1gYeOkS1XHKVFdNorKSIpix8.jpg,/sqZGYcHJWWNHsECBl57FOCfjpFX.jpg,6.894,652,3.9345,MOVIE,en,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley",Barry Levinson
31121,31121,Shampoo,Shampoo,"On Election Day, 1968, irresponsible hairdresser and ladies' man George Roundy is too busy cutting hair and dealing with his girlfriends and mistress Felicia Karpf, whose husband Lester is having an affair with his ex-girlfriend Jackie.",1975-02-11,/6jmFvXPV6OhtX3AkAVnH7rwdeUJ.jpg,/2sDMMLK2A1aHh52abYRnzlTBy6t.jpg,6.0,233,2.5362,MOVIE,en,"Warren Beatty, Julie Christie, Goldie Hawn, Lee Grant, Jack Warden",Hal Ashby
293,293,A River Runs Through It,A River Runs Through It,"The Maclean brothers, Paul and Norman, live a relatively idyllic life in rural Montana, spending much of their time fly fishing. The sons of a minister, the boys eventually part company when Norman moves east to attend college, leaving his rebellious brother to find trouble back home. When Norman finally returns, the siblings resume their fishing outings, and assess where they've been and where they're going.",1992-10-09,/aVP45oS2cBL4WtZ1kB7r8uarruB.jpg,/85dLdBCBbuZYde0T6L1CKXd707u.jpg,7.023,1176,5.8619,MOVIE,en,"Craig Sheffer, Brad Pitt, Tom Skerritt, Brenda Blethyn, Emily Lloyd",Robert Redford
10998,10998,Fatal Attraction,Fatal Attraction,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,1987-09-18,/vjB9XwJKnYqFKKjhWcE6WpAf5Ki.jpg,/2UlBdiveZcOVrlNe5MYcI6TYeA7.jpg,6.844,1662,4.3439,MOVIE,en,"Michael Douglas, Glenn Close, Anne Archer, Ellen Hamilton Latzen, Stuart Pankin",Adrian Lyne
12235,12235,Jagged Edge,Jagged Edge,"After a wealthy heiress is murdered in her beach house, her devastated husband becomes the prime suspect. He hires a lawyer who hasn’t taken a criminal case in years, and as they work together, a complicated romance develops amidst the trial.",1985-10-04,/wHYjo3NLc293ZEXVSGhRIUr3Iqi.jpg,/oPQqAgvVLpvmQOalLHxXlRQtHYY.jpg,6.27,285,2.7154,MOVIE,en,"Glenn Close, Jeff Bridges, Peter Coyote, Lance Henriksen, Robert Loggia",Richard Marquand
36094,36094,Stanley & Iris,Stanley & Iris,"An illiterate cook at a company cafeteria tries for the attention of a newly widowed woman. As they get to know one another, she discovers his inability to read. When he is fired, she takes on trying to teach him to read in her kitchen each night.",1990-02-09,/ydDNS3aCnBWOT9jQiEVmN56rk2i.jpg,/scQculNdcFH75Jpru1OWkODhhe2.jpg,6.506,173,2.0021,MOVIE,en,"Jane Fonda, Robert De Niro, Swoosie Kurtz, Martha Plimpton, Jamey Sheridan",Martin Ritt
9013,9013,Midnight Run,Midnight Run,"A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",1988-07-20,/yx0touyDQ9enWDsFgS4MbBwCSNd.jpg,/5bJuEI1jHkZIktD3vnshdWkJSH8.jpg,7.2,1251,4.3858,MOVIE,en,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina",Martin Brest
